"صـ","سـ","المطلع","اسم الشاعر","سبب التصنيف","عدد الاَبيات","البحر","الروي","images"
"3","14","شَتَّانَ ما يَومي على كُورِها * ويومُ حَيَّانَ اَخي جابرٖ","أعشى قيس","قاله اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>متمثلا في ذكر مضي اَبي بكر لسبيله واِدلاء عمر اِلى الخلافة بعده","1","السريع","ر",
"7","11","لَعمرِي لقد اَيْقَضْتَ من كان نائمًا * واَسْمَعْتَ مَن كانت له اُذُنان","صخر بن عبد الله الشّريد","قالها عبد الرحمن بن اَبي ليلٰى - متمثلًا - في وصف جواب اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup> عند سؤاله عن اَحقِّيَّة اَمر الخلافة بعد رسول الله <sup>صلع</sup> ","1","الطويل","ن",
"9","10","قد قتَلنا سيدَ الاَنـ * ـصار سعدَ بن عُبادة","أبيات منسوبة إلى الجِنِّ","زعموا اَن الجنَّ قالته في قتل سعد بن عبادة بعد اعتزاله اَهلَ السقيفة","2","مجزوء الرمل","د",
"9","14","سَقى اللهُ سعدًا يومَ ذاك ولا سقٰى * عَراجِلَةً هابَتْ صدورَ البَواتِر","رجل من الاَنصار","في اَمر سعد بن عبادة وخذلان الاَنصار في يوم السقيفة","1","الطويل","ر",
"10","11","لو لم يُوَلُّوا اَمرَهم لِشِرارهم * لم يُفضِ اَمرُهم الى الحَجَّاجٖ","العوني (عبد الله بن عمر متمثلا)","في تشبيه قول سلمان الفارسي <sup>رض</sup> عند بيعة اَبي بكر: ""ولو وليتموها اَهل بيت نبيكم ما طمع فيها غيرهم""","1","الكامل","ج",
"11","7","فاِن كنتَ بالشُّورٰى مَلكتَ امورَهم * فكيف بهذا والمُشِيرون غُيَّبٗ","اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","في احتجاج الاَنصار وقريش لتَولية اَمر الخلافة وعند انتهاء اَنباء السقيفة اِليه","2","الطويل","ب",
"12","11","اَلا لا فادْخُلي المخْدَع * فقد هُيِّي لكِ المَضْجَعْ","مُسَيلمة الكذاب","في ابْتِنائه بسَجاح الكاذبة","3","الهزج","ع",
"12","15","به اَجمع به اَجمع * فَهُو اَهنى وَهُوْ اَنْفعْ","سجاح الكاذبة","في جواب مسيلمة الكذاب عند ابْتِنائه بها","1","الهزج","ع",
"34","1","قد كان بعدَك اَنْباءٌ وهَيْنَمَةٌ * لو كنتَ شاهَدْتَها لَم تكْثُر الخُطَبٗ","مولاتنا فاطمة<sup> </sup><sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","في ذكر ما نالها من الظالمين","9","البسيط ","ب",
"46","14","اَرٰى عِلَلَ الدنيا عليَّ كثيرةً * وصاحبُها حتّٰى المماتِ عَليلٗ","اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","في رثاء مولاتنا فاطمة <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","3","الطويل","ل",
"92","12","اَطعنا رسولَ الله ما كان بينَنا * فيا لَعبادِ اللهِ ما لاَبي بكر","مالك بن نويرة","في عتاب اَبي بكر لغصبه الخلافة وعند خروج مالك من المسجد بعد وكزه ودعه في عنقه","3","الطويل","ر",
"93","15","اَ دَعوتَه بالله ثم قتلتَه * هو اِن دعاكَ لِذِمَّةٍ لَم يَغدِر","متمم بن نويرة","في تزوُّج خالد بن الوليد بامرأة مالك بن نويرة بعد قتله بغدر","3","الكامل","ر",
"94","4","فاِن تكُن الاَيَّامُ فَرَّقْنَ بَينَنا * فقَد كان محمودًا اَخي حِينَ وَدَّعَا","متمم بن نويرة","في البكاء على قتل اَخيه وعند سؤاله اَبا بكر ليعديه على خالد","11","الطويل","ع",
"121","3","وَاَشعث غرَّه الاسلامُِ منِّي * خَلَوْتُ باَهلهِ ليلَ التمامٖ","رجل من يهود","في قعوده عند اَهل الرجل الذي خرج غازيًا في جيش عمر وتَرَكَه في بيته ليمون اَهله","3","الوافر","م",
"137","6","يا جَوارِي الحَيِّ عُدْنَنِيَه * يَا خَواتِي لا تلُمنَنِيَه","عفان بن اَبي العاص","في ذكر اَبي اُحَيحَة سعيد بن العاص ","5","المديد","ن",
"137","13","زعَم ابنُ عفَّانٍ وليس بهَازِل * اَن الفراتَ له بِحَوْز المَشرِقٖ","عبد الرحمن بن حنبل الجمحي","في هجاء عثمان وتعييره باَبيه عفان","4","الكامل","ق",
"138","13","لا حَياء وليسَ فيكم سِوى الكِبـ * ـرِ وبغضُ النبيِّ والشُّهَداءٖ","بعض شعراء الاَمويين","في ابتلاء الحكم بن اَبي العاص بتخليع اَعضائه عند استهزائه وحكيه مشية رسول الله <sup>صلع</sup>","2","الخفيف","ء",
